c,rho,alpha,Xr,metabolic exponent
0.01,1.45,1,0.11,0.75
0.01,1.33,2,0.11,0.75
0.01,1.28,3,0.11,0.75
0.01,1.25,4,0.11,0.75
0.01,1.23,5,0.11,0.75
0.01,1.22,6,0.11,0.75
0.01,1.21,7,0.11,0.75
0.04,1.13,8,0.11,0.75
0.14,1.06,9,0.11,0.75
0.07,1.09,10,0.11,0.75
0.06,1.09,11,0.11,0.75
0.01,1.16,12,0.11,0.75
0.01,1.15,13,0.11,0.75
0.01,1.13,14,0.11,0.75
0.24,0.97,15,0.11,0.75
0.1,0.99,16,0.11,0.75
0.02,1.02,17,0.11,0.75
0.01,1.04,18,0.11,0.75
0.01,1.03,19,0.11,0.75
0.01,1.02,20,0.11,0.75
