c,rho,Xr,Xr,metabolic exponent
0.02,1.04,0.01,0.5,1
0.25,0.83,0.030416666666666668,0.5,1
0.26,0.83,0.050833333333333335,0.5,1
0.06,0.96,0.07125,0.5,1
0.17,0.87,0.09166666666666666,0.5,1
0.34,0.81,0.11208333333333333,0.5,1
0.34,0.81,0.1325,0.5,1
0.27,0.83,0.15291666666666667,0.5,1
0.27,0.83,0.17333333333333334,0.5,1
0.27,0.83,0.19375,0.5,1
0.27,0.83,0.21416666666666667,0.5,1
0.27,0.83,0.23458333333333334,0.5,1
0.27,0.83,0.255,0.5,1
0.27,0.83,0.27541666666666664,0.5,1
0.27,0.83,0.29583333333333334,0.5,1
0.39,0.8,0.31625000000000003,0.5,1
0.39,0.8,0.33666666666666667,0.5,1
0.31,0.82,0.3570833333333333,0.5,1
0.31,0.82,0.3775,0.5,1
0.31,0.82,0.3979166666666667,0.5,1
0.31,0.82,0.41833333333333333,0.5,1
0.31,0.82,0.43875,0.5,1
0.31,0.82,0.45916666666666667,0.5,1
0.31,0.82,0.47958333333333336,0.5,1
0.31,0.82,0.5,0.5,1
