c,rho,meta_exp,Xr,metabolic exponent
,,0.75,0.11,1.0000000000000002
,,0.76,0.11,1.0000000000000002
,,0.77,0.11,1.0000000000000002
0.01,1.79,0.78,0.11,1.0000000000000002
0.01,1.99,0.79,0.11,1.0000000000000002
0.01,1.99,0.8,0.11,1.0000000000000002
0.01,1.99,0.81,0.11,1.0000000000000002
0.01,1.99,0.8200000000000001,0.11,1.0000000000000002
0.01,1.99,0.8300000000000001,0.11,1.0000000000000002
0.02,0.9,0.8400000000000001,0.11,1.0000000000000002
0.02,1.99,0.8500000000000001,0.11,1.0000000000000002
0.02,1.99,0.8600000000000001,0.11,1.0000000000000002
0.02,1.99,0.8700000000000001,0.11,1.0000000000000002
0.02,1.99,0.8800000000000001,0.11,1.0000000000000002
0.02,1.99,0.8900000000000001,0.11,1.0000000000000002
0.02,1.99,0.9000000000000001,0.11,1.0000000000000002
0.02,1.99,0.9100000000000001,0.11,1.0000000000000002
0.02,1.99,0.9200000000000002,0.11,1.0000000000000002
0.02,1.99,0.9300000000000002,0.11,1.0000000000000002
0.02,1.99,0.9400000000000002,0.11,1.0000000000000002
0.02,1.99,0.9500000000000002,0.11,1.0000000000000002
0.02,1.99,0.9600000000000002,0.11,1.0000000000000002
0.02,1.99,0.9700000000000002,0.11,1.0000000000000002
0.02,1.99,0.9800000000000002,0.11,1.0000000000000002
0.02,1.99,0.9900000000000002,0.11,1.0000000000000002
0.02,1.99,1.0000000000000002,0.11,1.0000000000000002
